

########## payment_config  (sample; table has 148 rows) ##########
id,file_line_no,transaction_type_raw,transaction_type_norm,description_raw,description_norm,is_desc_wildcard,amount_field,record_ref_template,summary_pos,summary_neg,raw
38,39,ADJUSTMENT,ADJUSTMENT,OTHER,OTHER,f,total,ADJUSTMENT_OTHER+settlement_id+date,"","","{""record_ref"": ""ADJUSTMENT_OTHER+settlement_id+date"", ""description"": ""OTHER"", ""amount_field"": ""total"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
39,40,COMMINGLING_VAT,COMMINGLING_VAT,any,ANY,t,other,txn_ref+date,sales_tax,sales_tax,"{""record_ref"": ""txn_ref+date"", ""description"": ""any"", ""amount_field"": ""other"", ""transaction_type"": ""COMMINGLING_VAT"", ""to_summary_field_when_negative_amount"": ""sales_tax"", ""to_summary_field_when_positive_amount"": ""sales_tax""}"
40,41,COMMINGLING_VAT,COMMINGLING_VAT,any,ANY,t,total,txn_ref+date,"","","{""record_ref"": ""txn_ref+date"", ""description"": ""any"", ""amount_field"": ""total"", ""transaction_type"": ""COMMINGLING_VAT"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
41,42,FULFILMENT_BY_AMAZON_INVENTORY_FEE,FULFILMENT_BY_AMAZON_INVENTORY_FEE,FBA_REMOVAL_ORDER:_RETURN_FEE,FBA_REMOVAL_ORDER_RETURN_FEE,f,other,txn_ref+FBA_RETURN_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees,"{""record_ref"": ""txn_ref+FBA_RETURN_FEE+settlement_id+date"", ""description"": ""FBA_REMOVAL_ORDER:_RETURN_FEE"", ""amount_field"": ""other"", ""transaction_type"": ""FULFILMENT_BY_AMAZON_INVENTORY_FEE"", ""to_summary_field_when_negative_amount"": ""expenses_fba_fees"", ""to_summary_field_when_positive_amount"": ""expenses_fba_fees""}"
42,43,FULFILMENT_BY_AMAZON_INVENTORY_FEE,FULFILMENT_BY_AMAZON_INVENTORY_FEE,FBA_REMOVAL_ORDER:_RETURN_FEE,FBA_REMOVAL_ORDER_RETURN_FEE,f,total,txn_ref+FBA_RETURN_FEE+settlement_id+date,"","","{""record_ref"": ""txn_ref+FBA_RETURN_FEE+settlement_id+date"", ""description"": ""FBA_REMOVAL_ORDER:_RETURN_FEE"", ""amount_field"": ""total"", ""transaction_type"": ""FULFILMENT_BY_AMAZON_INVENTORY_FEE"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
43,44,FULFILMENT_BY_AMAZON_INVENTORY_FEE,FULFILMENT_BY_AMAZON_INVENTORY_FEE,FULFILMENT_BY_AMAZON_REMOVAL_ORDER:_DISPOSAL_FEE,FULFILMENT_BY_AMAZON_REMOVAL_ORDER_DISPOSAL_FEE,f,other,txn_ref+FBA_DISPOSAL_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees,"{""record_ref"": ""txn_ref+FBA_DISPOSAL_FEE+settlement_id+date"", ""description"": ""FULFILMENT_BY_AMAZON_REMOVAL_ORDER:_DISPOSAL_FEE"", ""amount_field"": ""other"", ""transaction_type"": ""FULFILMENT_BY_AMAZON_INVENTORY_FEE"", ""to_summary_field_when_negative_amount"": ""expenses_fba_fees"", ""to_summary_field_when_positive_amount"": ""expenses_fba_fees""}"
44,45,FULFILMENT_BY_AMAZON_INVENTORY_FEE,FULFILMENT_BY_AMAZON_INVENTORY_FEE,FULFILMENT_BY_AMAZON_REMOVAL_ORDER:_DISPOSAL_FEE,FULFILMENT_BY_AMAZON_REMOVAL_ORDER_DISPOSAL_FEE,f,total,txn_ref+FBA_DISPOSAL_FEE+settlement_id+date,"","","{""record_ref"": ""txn_ref+FBA_DISPOSAL_FEE+settlement_id+date"", ""description"": ""FULFILMENT_BY_AMAZON_REMOVAL_ORDER:_DISPOSAL_FEE"", ""amount_field"": ""total"", ""transaction_type"": ""FULFILMENT_BY_AMAZON_INVENTORY_FEE"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
45,46,FULFILMENT_BY_AMAZON_INVENTORY_FEE,FULFILMENT_BY_AMAZON_INVENTORY_FEE,CAPACITY_RESERVATION_FEE,CAPACITY_RESERVATION_FEE,f,fba_fees,CAPACITY_RESERVATION_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees,"{""record_ref"": ""CAPACITY_RESERVATION_FEE+settlement_id+date"", ""description"": ""CAPACITY_RESERVATION_FEE"", ""amount_field"": ""fba_fees"", ""transaction_type"": ""FULFILMENT_BY_AMAZON_INVENTORY_FEE"", ""to_summary_field_when_negative_amount"": ""expenses_fba_fees"", ""to_summary_field_when_positive_amount"": ""expenses_fba_fees""}"
46,47,FULFILMENT_BY_AMAZON_INVENTORY_FEE,FULFILMENT_BY_AMAZON_INVENTORY_FEE,CAPACITY_RESERVATION_FEE,CAPACITY_RESERVATION_FEE,f,total,CAPACITY_RESERVATION_FEE+settlement_id+date,"","","{""record_ref"": ""CAPACITY_RESERVATION_FEE+settlement_id+date"", ""description"": ""CAPACITY_RESERVATION_FEE"", ""amount_field"": ""total"", ""transaction_type"": ""FULFILMENT_BY_AMAZON_INVENTORY_FEE"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
47,48,FULFILMENT_BY_AMAZON_INVENTORY_FEE,FULFILMENT_BY_AMAZON_INVENTORY_FEE,FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE,FBA_AMAZON_PARTNERED_CARRIER_SHIPMENT_FEE,f,other,FBA_INVENTORY_FEE_FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees,"{""record_ref"": ""FBA_INVENTORY_FEE_FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE+settlement_id+date"", ""description"": ""FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE"", ""amount_field"": ""other"", ""transaction_type"": ""FULFILMENT_BY_AMAZON_INVENTORY_FEE"", ""to_summary_field_when_negative_amount"": ""expenses_fba_fees"", ""to_summary_field_when_positive_amount"": ""expenses_fba_fees""}"
48,49,FULFILMENT_BY_AMAZON_INVENTORY_FEE,FULFILMENT_BY_AMAZON_INVENTORY_FEE,FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE,FBA_AMAZON_PARTNERED_CARRIER_SHIPMENT_FEE,f,total,FBA_INVENTORY_FEE_FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE+settlement_id+date,"","","{""record_ref"": ""FBA_INVENTORY_FEE_FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE+settlement_id+date"", ""description"": ""FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE"", ""amount_field"": ""total"", ""transaction_type"": ""FULFILMENT_BY_AMAZON_INVENTORY_FEE"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
